City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,taltal,-25.4,-70.4833,17.56,65,31,1.19,CL,1729812753
270,lai chau,22.3997,103.4517,17.43,86,26,0.64,VN,1729812754
271,sadovoye,47.7764,44.5089,7.12,67,52,4.04,RU,1729812755
272,labuan bajo,-8.4964,119.8877,29.11,64,3,2.9,ID,1729812756
273,usinsk,65.9939,57.5281,-0.04,94,100,6.61,RU,1729812757
274,tonj,7.2737,28.6822,24.03,82,48,0.29,SS,1729812758
275,ndele,8.4109,20.6473,23.9,66,88,1.03,CF,1729812760
276,afaahiti,-17.75,-149.2833,24.07,77,100,10.1,PF,1729812761
277,tralee,52.2704,-9.7026,12.67,96,99,3.6,IE,1729812762
278,tateyama,34.9833,139.8667,20.86,83,100,6.74,JP,1729812763
279,strezhevoy,60.7333,77.5889,3.63,99,100,3.24,RU,1729812764
280,alibag,18.6411,72.8792,25.98,68,82,2.27,IN,1729812765
281,cueto,20.6439,-75.9356,24.97,89,33,4.41,CU,1729812767
282,munchberg,50.2,11.7833,10.45,95,75,3.6,DE,1729812768
283,manokwari,-0.8667,134.0833,27.79,75,21,1.11,ID,1729812769
284,sortavala,61.7053,30.6918,4.76,87,66,1.47,RU,1729812770
285,ukiah,39.1502,-123.2078,25.94,16,0,0.0,US,1729812771
286,saint joseph,39.7686,-94.8466,29.01,44,0,5.14,US,1729812638
287,aykhal,66.0,111.5,-21.25,100,96,1.83,RU,1729812774
288,ancud,-41.8697,-73.8203,8.89,77,99,5.91,CL,1729812775
289,oum hadjer,13.2954,19.6966,28.55,18,9,6.82,TD,1729812776
290,isangel,-19.55,169.2667,27.38,70,23,5.11,VU,1729812777
291,hamilton,39.1834,-84.5333,14.87,67,0,0.45,US,1729812774
292,anna regina,7.2644,-58.5077,27.41,77,100,4.26,GY,1729812779
293,ambon,-3.6954,128.1814,30.49,95,40,1.54,ID,1729812781
294,kaiyuan,23.6977,103.3037,18.12,87,42,0.82,CN,1729812782
295,fort bragg,35.139,-79.006,19.75,60,0,0.0,US,1729812783
296,walvis bay,-22.9575,14.5053,14.53,88,34,1.54,NA,1729812767
297,antofagasta,-23.65,-70.4,15.6,79,25,3.63,CL,1729812566
298,fort mcmurray,56.7268,-111.381,6.77,42,100,5.66,CA,1729812786
299,nam som,17.7704,102.1895,23.13,89,55,1.14,TH,1729812789
300,nova sintra,14.8667,-24.7167,26.7,71,99,1.0,CV,1729812790
301,braslaw,55.644,27.0455,7.11,98,39,3.73,BY,1729812791
302,vilyuchinsk,52.9306,158.4028,7.15,91,100,1.83,RU,1729812792
303,valentin gomez farias,28.2167,-106.5833,25.58,20,5,2.22,MX,1729812794
304,sarmiento,-45.5882,-69.07,13.75,29,98,10.93,AR,1729812795
305,isafjordur,66.0755,-23.124,-5.97,82,39,3.65,IS,1729812796
306,susuman,62.7833,148.1667,-11.12,82,100,2.23,RU,1729812797
307,wynyard,-41.0,145.7167,13.44,61,33,3.13,AU,1729812798
308,saipan,15.1355,145.701,26.39,94,75,10.29,MP,1729812800
309,mount gambier,-37.8333,140.7667,14.17,47,72,2.73,AU,1729812801
310,kupang,-10.1667,123.5833,29.32,89,20,1.54,ID,1729812687
311,port blair,11.6667,92.75,25.02,94,40,1.03,IN,1729812803
312,amga,60.8953,131.9608,-8.31,93,100,1.89,RU,1729812804
313,sisimiut,66.9395,-53.6735,-0.38,77,100,7.79,GL,1729812805
314,belize city,17.4995,-88.1976,28.01,84,75,1.54,BZ,1729812632
315,santa elena de uairen,4.6167,-61.1333,20.96,83,82,1.37,VE,1729812808
316,pisco,-13.7,-76.2167,18.9,82,0,6.17,PE,1729812809
317,shippensburg,40.0507,-77.5203,11.87,60,0,1.92,US,1729812745
318,altamira,-3.2033,-52.2064,28.05,74,0,0.0,BR,1729812811
319,yarmouth,41.7057,-70.2286,15.63,77,20,7.6,US,1729812812
320,zhoukou,33.6333,114.6333,14.12,69,96,2.93,CN,1729812813
